Tweet_Id,Timestamp,Source,Text,Expanded_Urls,Rating_Numerator,Rating_Denominator,Name,Link,Jpg_Url,Img_Num,Retweet_Count,Favorite_Count,Dog_Stage
892177421306343426,2017-08-01 00:17:27 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,https://t.co/0Xxu71qeIV,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,6514,33819,None
891815181378084864,2017-07-31 00:18:03 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,4328,25461,None
891327558926688256,2017-07-29 16:00:24 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,https://t.co/AtUZn91f7f,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,9774,41048,None
890729181411237888,2017-07-28 00:22:40 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,https://t.co/v0nONBcwxq,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,16716,56848,None
890609185150312448,2017-07-27 16:25:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,4429,28226,None
890240255349198849,2017-07-26 15:59:51 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,7711,32467,"doggo,None"
890006608113172480,2017-07-26 00:31:25 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting #BarkWeek ,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,7624,31166,None
889665388333682689,2017-07-25 01:55:32 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.  ,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,https://t.co/BxvuXk0UCm,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,8538,38818,puppo
889638837579907072,2017-07-25 00:10:02 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist ,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,4735,27672,None
889531135344209921,2017-07-24 17:02:04 +0000,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo #BarkWeek ,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,https://t.co/y70o6h3isq,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,2321,15359,puppo
